Товар,Магазин,Код,Вартість,Кількість,Загальні витрати,Дата замовлення,Відправник,Дата прибуття,Пошта доставки,Посилання,Відстеження,Тривалість доставки b,Розрахований час доставки
Конструктор,ToysHome,AS418499344CN,"14,84",1,"14,84",03.08.2020,Seller Method,13.08.2020,НП,https://www.aliexpress.com/item/33025911690.html,https://t.17track.net/uk#nums=AS418499344CN,10,09.09.2020
Bluetooth клавіатура,"ShenZhen Orange Tec Co.,Ltd",UA3364528NP21051G,"11,40",1,"11,4",03.08.2020,AliExpress Standard Shipping,08.09.2020,Meest,https://www.aliexpress.com/item/4000196882290.html,https://t.17track.net/uk#nums=UA3364528NP21051G,36,09.09.2020
Ґеймпад,RETROFLAG,RO456872441EE,"0,01",1,"0,01",13.08.2020,AliExpress Standard Shipping,29.08.2020,Meest,https://www.aliexpress.com/item/4001271927743.html,https://t.17track.net/uk#nums=RO456872441EE,16,19.09.2020
PowerBank,Kuulaa,EQTWL0082589575YQ,"28,24",1,"24,74",24.08.2020,Seller Method,08.09.2020,Meest,https://www.aliexpress.com/item/4000751624642.html,https://t.17track.net/uk#nums=EQTWL0082589575YQ,15,30.09.2020
Кухонні гачки,Grocery shop L&Z,SF6042188174525,"3,56",2,"9,89",24.08.2020,SF eParcel,02.09.2020,НП,https://www.aliexpress.com/item/32887259432.html,https://t.17track.net/uk#nums=SF6042188174525,9,30.09.2020
SD 128 GB,Samsung Global Online,AENM0002670496NPI,"18,72",1,"17,72",26.08.2020,AliExpress Standard Shipping,12.09.2020,НП,https://www.aliexpress.com/item/32818989027.html,https://t.17track.net/uk#nums=AENM0002670496NPI,17,02.10.2020
Підставка під мобільний,Lingchen,AENM0002670496NPI,"9,12",1,"9,12",26.08.2020,AliExpress Standard Shipping,12.09.2020,НП,https://www.aliexpress.com/item/4000211159942.html,https://t.17track.net/uk#nums=AENM0002670496NPI,17,02.10.2020
Блочний конструктор,FunnyBlocks Store,RO510631827EE,"12,45",1,"14,13",18.03.2021,AliExpress Standard Shipping,05.04.2021,Meest,https://www.aliexpress.com/item/1005002056548758.html,https://t.17track.net/uk#nums=RO510631827EE,18,24.04.2021
Кабель VGA - HDMI,all be get Store,SA160524966EE,"1,7",1,"2,74",23.04.2021,AliExpress Saver Shipping,12.05.2021,УП,https://www.aliexpress.com/item/32996093332.html,https://t.17track.net/uk#nums=SA160524966EE,19,30.05.2021
Кабель для зарядки,Computer Accessories City Store,SK025240449LV,"1,38",1,"1,38",31.05.2021,Cainiao Super Economy,24.06.2021,УП,https://aliexpress.ru/item/1005001502176113.html,https://t.17track.net/uk#nums=SK025240449LV,24,07.07.2021
Sticks For Switch,DataFrog,AENM0005232730,"7,17",1,"7,17",20.09.2021,AliExpress Standard Shipping,08.10.2021,НП,https://aliexpress.ru/item/32908400496.html,https://t.17track.net/uk#nums=AENM0005232730,18,27.10.2021
Підставка під мобільний,Lingchen,AENM0005232730,"4,65",1,"4,65",20.09.2021,AliExpress Standard Shipping,08.10.2021,НП,https://aliexpress.ru/item/33032365474.html,https://t.17track.net/uk#nums=AENM0005232730,18,27.10.2021
Стікери для записів,jinhao,AENM0005345664,"0,78",5,"5,05",05.10.2021,AliExpress Standard Shipping,28.10.2021,НП,https://www.aliexpress.com/item/33036486810.html,https://t.17track.net/uk#nums=AENM0005345664,23,11.11.2021
Піжама,QWEEK,AENM0005728713,"14,73",1,"12,95",19.10.2021,AliExpress Standard Shipping,06.11.2021,НП,https://www.aliexpress.com/item/4000286828774.html,https://t.17track.net/uk#nums=AENM0005728713,18,25.11.2021
Різдвяні вогники,Voiley,RO575204385EE,"4,92",1,"4,92",19.10.2021,AliExpress Standard Shipping,11.11.2021,Meest,https://www.aliexpress.com/item/4000084867377.html,https://t.17track.net/uk#nums=RO575204385EE,23,25.11.2021
Паперові торбинки,Warm party,RO575204385EE,"3,85",1,"3,85",19.10.2021,AliExpress Standard Shipping,12.11.2021,Meest,https://www.aliexpress.com/item/1005003221809922.html,https://t.17track.net/uk#nums=RO575204385EE,24,25.11.2021
Пластирі,May Records,AENM0005950247,"2,89",1,"2,89",28.10.2021,AliExpress Standard Shipping,19.11.2021,НП,https://www.aliexpress.com/item/32423753457.html,https://t.17track.net/uk#nums=AENM0005950247,22,4.12.2021
Різдвяні стікери,Tumoni,AENM0005950247,"2,14",1,"2,14",28.10.2021,AliExpress Standard Shipping,19.11.2021,НП,https://www.aliexpress.com/item/1005002072542532.html,https://t.17track.net/uk#nums=AENM0005950247,22,4.12.2021
Декоративна іграшка,TopSlime,AENM0005950247,"0,9",1,"0,9",28.10.2021,AliExpress Standard Shipping,19.11.2021,НП,https://www.aliexpress.com/item/4000426220653.html,https://t.17track.net/uk#nums=AENM0005950247,22,4.12.2021
Стілус,BASEUS Official Store,AEBT0000449034,"29,31",1,"24,31",11.11.2021,AliExpress Standard Shipping,04.12.2021,НП,https://www.aliexpress.com/item/1005002468205384.html,https://t.17track.net/uk#nums=AEBT0000449034,23,18.12.2021
Швидка зарядка,Kuulaa,AENM0010413855,"17,99",1,"16,33",23.10.2022,AliExpress Standard Shipping,11.11.2022,НП,https://www.aliexpress.com/item/1005004742733896.html,https://t.17track.net/uk#nums=AENM0010413855,19,29.11.2022
Кабель Type C - Type C,Kuulaa,AENM0010413855,"4,79",1,"4,65",23.10.2022,AliExpress Standard Shipping,11.11.2022,НП,https://www.aliexpress.com/item/4000065578865.html,https://t.17track.net/uk#nums=AENM0010413855,19,29.11.2022
Лампа,GLEDALLIN,RO656041435EE,"12,51",1,"12,51",26.10.2022,AliExpress Standard Shipping,15.11.2022,Meest,https://www.aliexpress.com/item/1005003855263842.html,https://t.17track.net/uk#nums=RO656041435EE,20,2.12.2022
Кабель з перехідниками,Geris Power,AENM0010431909,"9,44",1,"9,44",27.10.2022,AliExpress Standard Shipping,15.11.2022,НП,https://www.aliexpress.com/item/1005001402621821.html,https://t.17track.net/uk#nums=AENM0010431909,19,3.12.2022
Лампа,GLEDALLIN,RK032581681LV,"11,88",5,"59,4",17.11.2022,AliExpress Standard Shipping,24.12.2022,УП,https://www.aliexpress.com/item/1005003855263842.html,https://t.17track.net/uk#nums=RK032581681LV,37,24.12.2022
Лампа,GLEDALLIN,RK044595935LV,"12,76",1,"12,76",8.1.2023,AliExpress Standard Shipping,30.01.2023,УП,https://www.aliexpress.com/item/1005003855263842.html,https://t.17track.net/uk#nums=RK044595935LV,22,30.1.2023
Sticks For Switch,DataFrog,RK054570495LV,"6,27",1,"6,21",18.02.2023,AliExpress Standard Shipping,13.03.2023,УП,https://www.aliexpress.com/item/32908400496.html,https://t.17track.net/uk#nums=RK054570495LV,23,13.03.2023
Лампа,MiHomes,AEBT0000609809,"10,13",1,"10,13",27.07.2023,AliExpress Standard Shipping,,НП,https://a.aliexpress.com/_EwZnWdz,https://t.17track.net/uk#nums=AEBT0000609809,"19,5",15.08.2023
