Рік,Номер,Автор,Назва,Напрям,Жанр,Стан,Рівень,Вид,Дата початку,Дата закінчення,Цикл,Нотатки,,
2022,43,Шваб,Ковід 19: велике перезавантаження,Non-fiction,Економіка,На хмарі,Прочитано,Електронна,05.02.2022,09.02.2022,,,,
2022,44,Лютий,Корабель шаленців,Non-fiction,Філософія,Куплено/В бібліотеці,Прочитано,Фізична,06.02.2022,12.02.2022,,,,
2022,45,Дукай,Крига т.2,Художня,Альт. Історія,Куплено/На хмарі,Прочитано,Електронна,23.01.2022,19.03.2022,,,,
2022,46,,The global risk report 2021,Non-fiction,Економіка,На хмарі,Прочитано,Електронна,26.03.2022,26.03.2022,,,,
2022,47,Єрґін,Нова карта світу,Non-fiction,Політика,Куплено/В бібліотеці,Прочитано,Фізична,19.02.2022,10.04.2022,Великі наративи,,,
2022,48,McKinney,Python for data analysis,Non-fiction,IT,На хмарі,Прочитано,Електронна,05.02.2022,20.04.2022,,,,
2022,49,Hughes,Hands on SSAS,Non-fiction,IT,На хмарі,Прочитано,Електронна,18.04.2022,23.04.2022,,,,
2022,50,Азімов,Фундація та Земля,Художня,НФ,Куплено/На хмарі,Прочитано,Електронна,07.05.2022,08.05.2022,Фундація,,,
2022,51,Келенбергер,Beginning SQL Server Reporting Services,Non-fiction,IT,На хмарі,Прочитано,Електронна,10.05.2022,15.05.2022,,,,
2022,52,Пратчетт,Химерне сяйво,Художня,Фентезі,Куплено/На хмарі,Прочитано,Електронна,16.06.2022,18.06.2022,Дискосвіт,,,
2022,53,Грем,Розумний інвестор,Non-fiction,Інвестування,Куплено/В бібліотеці,Прочитано,Фізична/електронна,29.01.2022,25.06.2022,,,,
2022,54,Єрґін,Великий куш,Non-fiction,Політика,Куплено/В бібліотеці,Прочитано,Електронна,27.03.2022,12.07.2022,Великі наративи,,,
2022,55,Почепцов,Дозвілля,Non-fiction,Культура,Куплено/На хмарі,Прочитано,Електронна,13.07.2022,16.07.2022,,,,
2022,56,,36 стратагем,Non-fiction,Стратегія,Куплено/В бібліотеці,Прочитано,Фізична,30.06.2022,17.07.2022,Схід,,,
2022,57,Веґнер,Оповістки з Меекханського прикордоння. Книга 1. Північ - південь,Художня,Фентезі,Куплено/В бібліотеці,Прочитано,Фізична,26.06.2022,22.07.2022,,,,
2022,58,Пекар,Різнобарвний менеджмент,Non-fiction,Менеджмент,На хмарі,Прочитано,Електронна,24.07.2022,27.07.2022,,,,
2022,59,Knight,Professional Microsoft SQL Server 2014 Integration Services,Non-fiction,IT,На хмарі,Прочитано,Електронна,16.06.2022,17.08.2022,,Стратегічна книга,,"0,8964817321"
2022,60,Аджемоглу,Чому нації занепадають,Non-fiction,Економіка,Куплено/На хмарі,Прочитано,Електронна,23.07.2022,18.08.2022,,,,
2022,61,Нестелєєв,Лабіринти американського постмодернізму т.1,Non-fiction,Літературознавство,Куплено/В бібліотеці,Прочитано,Фізична,28.07.2022,20.08.2022,,,,"0,2744310576"
2022,62,Почепцов,Пропаганда 2.0,Non-fiction,Когнітивістика,Куплено/На хмарі,Прочитано,Електронна,05.08.2022,17.09.2022,,,,
2022,63,Лавкрафт,Т.1,Художня,Жахи,Куплено/На хмарі,Прочитано,Електронна,25.06.2022,21.09.2022,,,,
2022,64,Еко,Ім'я Рози,Non-fiction,Постмодерн,Куплено/В бібліотеці,Прочитано,Фізична,21.08.2022,01.10.2022,,,,
2022,65,,Старша Едда,Художня,Міфологія,Куплено/В бібліотеці,Прочитано,Фізична,12.08.2022,04.11.2022,,Стратегічна книга,,
2022,66,Герберт,Діти дюни,Художня,НФ,Куплено/На хмарі,Прочитано,Електронна,24.09.2022,07.11.2022,Дюна,,,
2022,67,Гаузел,Психологія грошей,Non-fiction,Фінанси,Куплено/На хмарі,Прочитано,Електронна,19.11.2022,21.11.2022,,,,
2022,68,Тетлок,Суперпрогнозування,Non-fiction,Економіка,Куплено/На хмарі,Прочитано,Електронна,05.11.2022,23.11.2022,,,,
2022,69,Петковіц,SQL Server 2019,Non-fiction,IT,На хмарі,Прочитано,Електронна,22.08.2022,24.11.2022,,Стратегічна книга,,
2022,70,Арістотель,Метафізика,Non-fiction,Філософія,Куплено/В бібліотеці,Прочитано,Фізична,19.04.2022,25.11.2022,"""Філософія""",Стратегічна книга,,
2022,71,Russo,Tabular Modeling in Microsoft SQL Server Analysis Services,Non-fiction,IT,На хмарі,Прочитано,Електронна,08.10.2022,27.11.2022,,Стратегічна книга,,
2022,72,Пекар,Бесіди Хай-Тао про стратегію,Non-fiction,Стратегія,Куплено/На хмарі,Прочитано,Електронна,05.12.2022,09.12.2022,,Стратегічна книга,,
2022,73,Кван,Макова війна,Художня,Фентезі,Куплено/На хмарі,Прочитано,Електронна,28.11.2022,09.12.2022,,,,
2022,74,Кувер,Оповідки та небелиці,Художня,Постмодерн,Куплено/В бібліотеці,Прочитано,Фізична,26.11.2022,21.12.2022,Американський постмодернізм,,,
2022,75,Ben-Gan,70-761 exam,Non-fiction,IT,На хмарі,Прочитано,Електронна,29.11.2022,25.12.2022,Microsoft Exam,Стратегічна книга,,
2023,1,Діксіт,Мистецтво стратегії,Non-fiction,Стратегія,Куплено/В бібліотеці,Прочитано,Фізична,04.11.2022,04.01.2022,,Стратегічна книга,,
2023,2,Ґібсон,Спалити хром,Художня,НФ,Куплено/В бібліотеці,Прочитано,Фізична,05.01.2022,07.01.2023,Ad Astra,,,
2023,3,Гейман,Sandman. Прелюдії та ноктюрни,Художня,Комікс,Куплено/В бібліотеці,Прочитано,Фізична,13.01.2023,15.01.2023,Сендмен,,,
2023,4,Cordesman,The Lessons of Modern War vol II,Non-fiction,Військова справа,На хмарі,Прочитано,Електронна,15.10.2022,21.01.2023,,,,
2023,5,Гейман,Sandman. Ляльковий будинок,Художня,Комікс,Куплено/В бібліотеці,Прочитано,Фізична,04.02.2023,04.02.2023,Сендмен,,,
2023,6,Санченко,Виїздна віза,Художня,Пригоди,Куплено/В бібліотеці,Прочитано,Фізична,08.01.2023,05.02.2023,,,,
2023,6,Пекар,Бесіди Хай-Тао про стратегію ч.2,Non-fiction,Стратегія,Куплено/На хмарі,Прочитано,Електронна,05.02.2023,03.03.2023,,Стратегічна книга,,
2023,7,Reis,Fundamentals of Data Engineering,Non-fiction,IT,На хмарі,Прочитано,Електронна,19.1.2023,06.03.2023,,Стратегічна книга,,
2023,8,Желязни,Хроніки Амбера. П'ятикнижжя Корвіна,Художня,Фентезі,Куплено/В бібліотеці,Прочитано,Фізична,12.02.2023,08.03.2023,,,,
2023,9,Крікард,Data Engineering with Python,Non-fiction,IT,На хмарі,Прочитано,Електронна,6.3.2023,10.03.2023,,,,
2023,10,Гейман,Sandman. Країна снів,Художня,Комікс,Куплено/В бібліотеці,Прочитано,Фізична,30.03.2023,30.03.2023,,,,
2023,11,Кузнєцов,Заколот,Художня,НФ,Куплено/В бібліотеці,Прочитано,Фізична,02.04.2023,08.04.2023,,,,
